                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0274,                0.58912,                 1.0743,                0.95988,                0.98057,                0.98806,                0.71594,                0.99504,                0.53319,                 1.0262,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1037,                0.60206,                  1.123,                0.96037,                0.97541,                  0.989,                0.72066,                0.99425,                0.51588,                 1.0232,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0954,                0.59869,                 1.0942,                0.97322,                0.96721,                0.98607,                0.71319,                0.98689,                0.51863,                  1.034,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0693,                0.58173,                 1.0685,                0.97491,                0.95564,                 0.9802,                0.71389,                0.99145,                0.50661,                 1.0404,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0391,                0.57847,                 1.0685,                0.95221,                0.98361,                0.99121,                0.72264,                0.98984,                0.51317,                 1.0226,               0.000614,               0.000614,               0.000614
                     72,                 1.0075,                0.57071,                  1.054,                0.97591,                 0.9918,                0.99281,                0.72751,                  0.979,                0.51016,                 1.0289,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0379,                0.58495,                 1.0572,                 0.9772,                0.98361,                0.99233,                0.73102,                0.95111,                0.50797,                  1.017,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0815,                0.61114,                 1.0832,                 0.9734,                 0.9918,                0.99148,                 0.7317,                0.92464,                0.52029,                 1.0035,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0047,                 0.5924,                 1.0577,                 0.9549,                0.98361,                0.98824,                0.71187,                0.93477,                0.52944,                  1.003,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0673,                0.58782,                 1.0769,                0.95673,                0.96721,                0.98595,                0.72357,                0.96541,                0.52258,                 1.0109,               0.000515,               0.000515,               0.000515
                     77,                0.99138,                0.57944,                 1.0417,                0.97884,                0.98361,                0.99064,                0.72083,                0.98622,                0.49991,                 1.0169,              0.0004952,              0.0004952,              0.0004952
                     78,                0.99258,                0.54929,                 1.0449,                0.97379,                0.98361,                0.99259,                0.74839,                0.93389,                0.47132,                0.99108,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0176,                0.57141,                 1.0591,                0.96014,                0.98727,                0.99133,                0.73609,                 0.9459,                0.48026,                 1.0036,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0273,                0.56661,                 1.0601,                0.96845,                 0.9918,                0.99062,                0.74343,                0.93115,                0.47798,                0.99844,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0232,                0.57718,                 1.0636,                0.95859,                0.98361,                0.99035,                 0.7459,                 0.9095,                0.48881,                0.99262,               0.000416,               0.000416,               0.000416
                     82,                0.99606,                0.55602,                 1.0358,                0.97314,                 0.9918,                0.99198,                 0.7449,                 0.8958,                0.47955,                0.98429,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0045,                0.54343,                 1.0489,                 0.9679,                0.98862,                0.99096,                0.74772,                0.90667,                0.47785,                0.98167,              0.0003764,              0.0003764,              0.0003764
                     84,                0.96517,                0.54022,                 1.0391,                0.95925,                0.96472,                0.98642,                0.75222,                0.89189,                0.47562,                 0.9897,              0.0003566,              0.0003566,              0.0003566
                     85,                0.96002,                0.55366,                 1.0192,                0.98024,                0.98361,                0.99308,                0.76129,                0.88498,                0.45663,                0.97556,              0.0003368,              0.0003368,              0.0003368
                     86,                0.98158,                0.52869,                 1.0284,                0.97283,                0.97541,                0.99222,                0.76393,                0.86576,                0.45538,                0.97693,               0.000317,               0.000317,               0.000317
                     87,                0.92675,                0.51525,                 1.0191,                0.99182,                0.99404,                0.99313,                0.76074,                0.84987,                0.43553,                0.96972,              0.0002972,              0.0002972,              0.0002972
                     88,                0.93916,                0.51597,                 1.0298,                0.99071,                 0.9918,                0.99295,                0.77546,                 0.8459,                 0.4351,                0.96751,              0.0002774,              0.0002774,              0.0002774
                     89,                0.95886,                0.52484,                 1.0195,                0.98215,                 0.9918,                0.99285,                 0.7702,                0.83102,                0.44041,                0.96093,              0.0002576,              0.0002576,              0.0002576
                     90,                0.95194,                0.51859,                 1.0356,                0.98368,                  0.988,                0.99286,                0.77692,                0.83325,                0.43657,                0.97334,              0.0002378,              0.0002378,              0.0002378
                     91,                0.93812,                0.51392,                  1.011,                 0.9836,                0.98346,                0.99307,                 0.7774,                0.81842,                0.42842,                0.96946,               0.000218,               0.000218,               0.000218
                     92,                0.92522,                 0.5032,                 1.0224,                0.98386,                0.99922,                0.99343,                0.77554,                0.83209,                0.43538,                0.96949,              0.0001982,              0.0001982,              0.0001982
                     93,                0.93153,                0.50075,                 1.0102,                0.95588,                 0.9918,                0.99241,                0.77925,                0.82701,                0.43931,                0.96176,              0.0001784,              0.0001784,              0.0001784
                     94,                0.96096,                0.50228,                 1.0642,                 0.9682,                0.99828,                 0.9923,                 0.7749,                0.82567,                0.42834,                0.96126,              0.0001586,              0.0001586,              0.0001586
                     95,                0.94918,                0.52182,                  1.009,                0.98381,                0.99649,                0.99352,                0.78848,                0.81701,                0.41705,                0.96379,              0.0001388,              0.0001388,              0.0001388
                     96,                0.91733,                0.48966,                 1.0132,                0.97591,                 0.9964,                0.99319,                0.78851,                0.81171,                0.42421,                0.96419,               0.000119,               0.000119,               0.000119
                     97,                0.92779,                0.50519,                 1.0215,                0.98329,                0.98361,                0.99327,                0.78388,                0.80566,                0.42446,                0.96324,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.90041,                0.49266,                 1.0047,                0.97324,                      1,                0.99318,                0.78131,                0.81248,                0.41898,                0.96546,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.90854,                0.49115,                 1.0034,                0.97869,                 0.9918,                0.99309,                0.78639,                0.80158,                0.41204,                0.96036,               5.96e-05,               5.96e-05,               5.96e-05
